City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
398,puro,93,PH,overcast clouds,77,12.4841,123.3827,82.56,0.0,0,15.75
399,olavarria,80,AR,broken clouds,72,-36.8927,-60.3225,41.52,0.0,0,18.95
400,botro,99,CI,overcast clouds,86,7.8525,-5.3106,72.97,0.0,0,7.7
401,ladushkin,66,RU,broken clouds,89,54.5703,20.171,66.06,0.0,0,5.93
402,sungai padi,61,TH,broken clouds,91,6.0851,101.8766,73.54,0.0,0,2.84
403,sandwick,90,GB,overcast clouds,94,60.0,-1.25,55.22,0.0,0,4.61
404,mezhova,75,UA,broken clouds,64,48.2532,36.7347,68.97,0.0,0,6.67
405,lubbock,40,US,scattered clouds,25,33.6001,-101.8338,97.38,0.0,0,1.99
406,rocha,31,UY,scattered clouds,70,-34.4833,-54.3333,44.02,0.0,0,18.9
407,winslow,20,US,few clouds,24,35.0242,-110.6974,93.96,0.0,0,3.0
408,yulara,36,AU,scattered clouds,59,-25.2406,130.9889,63.64,0.0,0,8.25
409,rafraf,2,TN,clear sky,61,37.1904,10.1837,79.11,0.0,0,16.28
410,gwanda,0,ZW,clear sky,79,-20.9333,29.0,48.0,0.0,0,4.99
411,coihaique,0,CL,clear sky,87,-45.5752,-72.0662,35.55,0.0,0,3.44
412,eyemouth,99,GB,moderate rain,95,55.8713,-2.0901,61.81,1.54,0,1.99
413,saint-francois,90,FR,fog,97,46.4154,3.9054,63.18,0.0,0,2.3
414,gat,0,IL,clear sky,76,31.61,34.7642,79.92,0.0,0,1.01
415,ulstrup,59,DK,broken clouds,97,56.3899,9.7935,61.34,0.0,0,6.76
416,mujiayingzi,100,CN,overcast clouds,84,42.1167,118.7833,70.34,0.0,0,0.56
417,harlingen,1,US,clear sky,56,26.1906,-97.6961,93.34,0.0,0,10.36
418,ballina,3,AU,clear sky,66,-28.8667,153.5667,64.78,0.0,0,9.95
419,pontianak,75,ID,broken clouds,100,-0.0333,109.3333,75.18,0.0,0,4.61
420,nkhata bay,15,MW,few clouds,56,-11.6066,34.2907,61.32,0.0,0,5.44
421,manado,20,ID,few clouds,65,1.487,124.8455,81.37,0.0,0,6.91
422,puerto escondido,90,MX,overcast clouds,65,15.85,-97.0667,79.63,0.0,0,6.91
423,ixtapa,20,MX,few clouds,66,20.7,-105.2,89.22,0.0,0,11.5
424,ugoofaaru,51,MV,moderate rain,76,5.6667,73.0,82.31,1.62,0,14.03
425,isla mujeres,22,MX,few clouds,69,21.2311,-86.731,87.17,0.0,0,11.79
426,matara,99,LK,overcast clouds,89,5.9485,80.5353,78.62,0.0,0,10.76
427,prince rupert,100,CA,overcast clouds,69,54.3161,-130.3201,61.74,0.0,0,4.56
428,elva,40,EE,moderate rain,94,58.2225,26.4211,68.11,1.41,0,2.3
429,saint-alexandre,31,FR,scattered clouds,67,44.2278,4.6214,71.06,0.0,0,2.01
430,mubi,98,NG,overcast clouds,90,10.2676,13.2644,69.39,0.0,0,2.35
431,mogadishu,90,SO,light rain,81,2.0371,45.3438,76.44,0.18,0,21.0
432,nanakuli,75,US,broken clouds,48,21.3906,-158.1547,89.55,0.0,0,10.36
433,lata,3,PT,clear sky,98,40.1629,-8.3327,62.04,0.0,0,2.71
434,aguimes,75,ES,broken clouds,68,27.9054,-15.4461,70.66,0.0,0,25.32
435,gaoua,95,BF,overcast clouds,81,10.2992,-3.2508,74.62,0.0,0,5.35
436,kenora,0,CA,clear sky,32,49.8167,-94.4337,80.78,0.0,0,8.99
437,valparaiso,0,CL,clear sky,67,-33.0393,-71.6273,55.04,0.0,0,4.61
438,kargasok,99,RU,overcast clouds,83,59.0556,80.8572,54.7,0.0,0,6.78
439,mount isa,74,AU,broken clouds,63,-20.7333,139.5,64.17,0.0,0,0.0
440,tritenii de jos,20,RO,few clouds,88,46.5833,24.0,71.74,0.0,0,3.44
441,guerrero negro,0,MX,clear sky,54,27.9769,-114.0611,79.66,0.0,0,16.28
442,trofaiach,18,AT,few clouds,93,47.4167,15.0,67.26,0.0,0,3.11
443,slovenska bistrica,44,SI,scattered clouds,72,46.3928,15.5744,73.09,0.0,0,3.44
444,mersing,80,MY,broken clouds,87,2.4312,103.8405,76.96,0.0,0,5.26
445,karlskrona,62,SE,broken clouds,90,56.1616,15.5866,63.05,0.0,0,7.85
446,zavetnoye,100,RU,overcast clouds,63,47.1194,43.8903,69.03,0.0,0,11.7
447,flinders,79,AU,broken clouds,46,-34.5833,150.8552,64.06,0.0,0,9.91
448,kirovsk,58,UA,broken clouds,55,48.6375,38.6428,69.82,0.0,0,2.82
449,blythe,1,US,clear sky,13,33.6103,-114.5964,109.04,0.0,0,3.44
450,great bend,1,US,clear sky,49,38.3645,-98.7648,96.85,0.0,0,4.0
451,meadow lake,40,US,scattered clouds,36,34.8014,-106.5436,85.32,0.0,0,7.99
452,saint-donat-de-montcalm,80,CA,broken clouds,64,46.3187,-74.2219,60.84,0.0,0,4.05
453,mastic beach,1,US,clear sky,66,40.7668,-72.8521,84.33,0.0,0,10.0
454,cascais,0,PT,clear sky,74,38.6979,-9.4215,68.47,0.0,0,17.0
455,uthal,100,PK,overcast clouds,81,25.8072,66.6219,82.38,0.0,0,6.91
456,gualeguay,12,AR,few clouds,60,-33.1416,-59.3097,42.19,0.0,0,7.2
457,georgetown,20,MY,few clouds,87,5.4112,100.3354,82.89,0.0,0,0.0
458,oranjemund,9,NA,clear sky,85,-28.55,16.4333,53.83,0.0,0,3.89
459,waitara,33,NZ,scattered clouds,70,-38.925,174.25,56.71,0.0,0,13.15
460,hualmay,36,PE,scattered clouds,82,-11.0964,-77.6139,65.16,0.0,0,11.07
461,tigil,100,RU,overcast clouds,84,57.8,158.6667,58.03,0.0,0,4.23
462,nagram,93,IN,light rain,90,26.6167,81.1333,77.05,0.87,0,6.22
463,port-gentil,66,GA,broken clouds,80,-0.7193,8.7815,75.94,0.0,0,10.76
464,yibin,17,CN,light rain,91,28.7667,104.6238,74.82,0.15,0,3.2
465,vostok,89,RU,overcast clouds,62,46.4856,135.8833,82.09,0.0,0,0.47
466,musafirkhana,91,IN,overcast clouds,91,26.3667,81.8,80.17,0.0,0,5.3
467,coos bay,1,US,clear sky,73,43.3665,-124.2179,81.32,0.0,0,20.71
468,romitan,0,UZ,clear sky,22,39.9343,64.3814,80.55,0.0,0,16.11
469,kodinsk,100,RU,overcast clouds,91,58.6881,99.1844,65.66,0.0,0,3.53
470,acarau,41,BR,scattered clouds,79,-2.8856,-40.12,78.75,0.0,0,15.64
471,aasiaat,100,GL,overcast clouds,81,68.7098,-52.8699,43.84,0.0,0,1.7
472,anadyr,90,RU,moderate rain,93,64.75,177.4833,50.5,2.97,0,15.01
473,saint stephen,75,GB,broken clouds,94,50.3333,-4.9,59.99,0.0,0,12.66
474,south river,8,US,clear sky,51,40.4465,-74.386,91.89,0.0,0,1.99
475,tromso,90,NO,mist,93,69.6496,18.957,54.25,0.0,0,16.11
476,rottingdean,47,GB,scattered clouds,94,50.8098,-0.0594,63.63,0.0,0,3.0
477,takoradi,93,GH,overcast clouds,84,4.8845,-1.7554,75.33,0.0,0,9.08
478,vestmannaeyjar,37,IS,scattered clouds,85,63.4427,-20.2734,53.35,0.0,0,10.8
479,bhuj,100,IN,overcast clouds,83,23.2667,69.6667,80.64,0.0,0,21.79
480,kirkuk,0,IQ,clear sky,20,35.4681,44.3922,94.28,0.0,0,9.93
481,boguchany,100,RU,overcast clouds,89,58.3814,97.4531,65.01,0.0,0,5.82
482,payson,75,US,broken clouds,31,40.0444,-111.7321,90.52,0.0,0,9.22
483,udachnyy,78,RU,broken clouds,46,66.4167,112.4,79.34,0.0,0,3.49
484,basco,100,PH,light rain,86,20.4487,121.9702,83.37,0.14,0,24.52
485,zhetysay,0,KZ,clear sky,28,40.7333,68.3,71.38,0.0,0,7.58
486,haikou,100,CN,light rain,75,20.0458,110.3417,83.34,0.18,0,7.56
487,kelso,1,US,clear sky,48,46.1468,-122.9084,90.39,0.0,0,6.91
488,rusape,0,ZW,clear sky,92,-18.5278,32.1284,42.42,0.0,0,2.86
489,wasilla,75,US,broken clouds,59,61.5814,-149.4394,69.3,0.0,0,1.01
490,puerto penasco,77,MX,broken clouds,65,31.3167,-113.5333,91.9,0.0,0,7.0
491,ewa beach,75,US,broken clouds,50,21.3156,-158.0072,89.55,0.0,0,10.36
492,flin flon,97,CA,overcast clouds,62,54.7682,-101.865,69.12,0.0,0,5.39
493,coquimbo,0,CL,clear sky,87,-29.9533,-71.3436,53.33,0.0,0,4.61
494,bireun,33,ID,scattered clouds,76,5.203,96.7009,77.23,0.0,0,3.91
495,elblag,69,PL,broken clouds,90,54.1522,19.4088,67.96,0.0,0,3.89
496,atar,83,MR,broken clouds,20,20.5169,-13.0499,93.83,0.0,0,6.2
497,pechenga,41,RU,scattered clouds,97,69.5259,31.1703,47.26,0.0,0,12.77
498,kaluga,100,RU,overcast clouds,81,54.5,35.5,63.91,0.0,0,4.16
499,avera,59,US,broken clouds,49,33.194,-82.5271,90.91,0.0,0,1.23
500,skagen,97,DK,overcast clouds,88,57.7209,10.5839,65.26,0.0,0,7.52
501,talaya,100,RU,overcast clouds,61,61.3833,152.75,49.8,0.0,0,14.16
502,chapais,100,CA,overcast clouds,48,49.7834,-74.8492,58.78,0.0,0,6.33
503,concarneau,8,FR,clear sky,91,47.875,-3.9225,61.05,0.0,0,8.46
504,dongsheng,100,CN,moderate rain,49,39.8161,109.9776,69.98,1.46,0,3.85
505,indri,100,IN,very heavy rain,97,29.88,77.0711,78.08,48.63,0,3.04
506,imeni poliny osipenko,97,RU,overcast clouds,81,52.4201,136.4853,72.09,0.0,0,3.49
507,bairiki,75,KI,broken clouds,70,1.3292,172.9752,84.2,0.0,0,5.75
