City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
91,karratha,AU,68.07,-20.7377,116.8463,ibis Styles Karratha
92,carbonia,IT,79.0,39.1672,8.5222,Lu 'Hotel
95,pilar,BR,75.13,-9.5972,-35.9567,Pousada e churrascaria Manguaba
98,abha,SA,64.65,18.2164,42.5053,Abha Hotel
100,baykit,RU,66.81,61.67,96.37,
105,pakxan,LA,74.48,18.3778,103.6601,Kong Kham Pheng Guesthouse
107,axim,GH,75.83,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
108,carnarvon,AU,66.56,-24.8667,113.6333,Hospitality Carnarvon
111,lucapa,AO,61.36,-8.4192,20.7447,Residência Ulisses Dos Santos
113,khatanga,RU,77.56,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
114,channel-port aux basques,CA,62.55,47.5702,-59.1367,St. Christopher's Hotel
117,sao joao da barra,BR,72.46,-21.6403,-41.0511,Pousada Porto De Canoas
118,thompson,CA,68.68,55.7435,-97.8558,Burntwood Hotel
124,ruteng,ID,60.08,-8.6136,120.4721,Hotel FX72 Ruteng
127,haines junction,CA,63.07,60.7522,-137.5108,Parkside Inn
128,ushibuka,JP,79.56,32.1906,130.0228,Hotei
132,saint-augustin,CA,60.91,51.226,-58.6502,
135,namibe,AO,65.52,-15.1961,12.1522,Hotel Chik Chik Namibe
137,kodiak,US,60.31,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
138,upata,VE,73.18,8.0086,-62.3989,Posada Villa Nela
139,port-cartier,CA,61.16,50.0334,-66.8654,Le Q'Artier
140,narwar,IN,76.12,25.65,77.9,हनुमान मन्दिर
141,zhuji,CN,78.71,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
143,markova,UA,66.09,48.6758,24.4138,Vas.VOM
148,barcelos,PT,65.84,41.5388,-8.6151,Hotel Do Terço
150,port hawkesbury,CA,70.79,45.6169,-61.3485,MacKenzie House Tourist Home B&B
151,tori,EE,64.81,58.4825,24.8152,Klaara-Manni Holiday Center
153,lahad datu,MY,79.3,5.0268,118.327,The 27th House
154,kapit,MY,73.4,2.0167,112.9333,Hotel Meligai Kapit
167,bunia,CD,65.77,1.5667,30.25,Gold Star International Hotel
168,rindal,NO,64.33,63.0565,9.2124,Saga Trollheimen Hotel
172,ban nahin,LA,75.69,18.2418,104.2122,
174,pisco,PE,64.45,-13.7,-76.2167,Hotel San Isidro Oficial
175,kanniyakumari,IN,79.07,8.0833,77.5667,Sparsa
181,batemans bay,AU,64.09,-35.7167,150.1833,Batemans Bay Marina Resort
185,port hardy,CA,62.4,50.6996,-127.4199,Airport Inn
189,porto novo,BJ,76.3,6.4965,2.6036,Tour Eiffel Hotel Benin
190,talnakh,RU,65.59,69.4865,88.3972,Talnakh Hotel
192,llanelli,GB,61.92,51.682,-4.1619,Coastal Park Hotel LTD
194,livingston,GB,62.13,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
197,ampanihy,MG,60.55,-24.7,44.75,Angora Hotel
198,dubna,RU,61.74,56.7333,37.1667,Rezident-Otel'
200,meulaboh,ID,76.24,4.1363,96.1285,Kost Pria
201,ambon,ID,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
202,uspenka,UA,68.45,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
203,huarmey,PE,66.6,-10.0681,-78.1522,Hotel Miramar
